checkpoint_label,seed,source,cell,count,reward_mean,reward_std,reward_median,value_mean,value_std,value_median,logprob_mean,logprob_std,logprob_median,advantage_mean,advantage_std,advantage_median,fraction_negative
fresh,7,probe_force,SHOT_fail,12,0.032499999999999994,0.06495190528383288,-0.005,-0.47424451013406116,0.0001737988254426939,-0.4742709994316101,-3.661763330300649,0.0007656851021994466,-3.6617860794067383,0.13460420444607735,0.27727298486434027,0.1040874645113945,0.25
fresh,7,pure_pi,MOVE_safe,3638,0.000458726449706524,0.013631641999740098,-0.004990284246354383,-0.5819930423413613,0.07926038819387288,-0.5504148900508881,-1.500297725200653,0.36745275592579735,-1.576263427734375,0.0605527398044748,0.1598226070885026,0.030004234984517097,0.32930181418361737
fresh,7,pure_pi,OTHER,73,-0.44337501497571824,0.4025716800632449,-0.5025766059240073,-0.6037770436234671,0.09230206670291942,-0.5530566573143005,-1.5334433839745718,0.39062923580991193,-1.5434951782226562,0.07264070174567504,0.3203198617704027,0.048816293478012085,0.1506849315068493
mixscript,7,probe_force,PASS_fail,20,-0.0018155093463844614,0.00777285362025927,-0.005,-0.49490149319171906,0.000478921038253727,-0.4950670003890991,-3.3318007707595827,0.0008431208692265863,-3.3316197395324707,-0.010492132790386677,0.09817561780001068,-0.04586019739508629,0.85
mixscript,7,probe_force,SHOT_event,8,0.145,0.0,0.145,-0.4946521855890751,0.0005217026966309947,-0.4947449117898941,-3.013938784599304,0.000940178387085493,-3.0137218236923218,0.08165150135755539,0.057905006065032884,0.07717904448509216,0.0
mixscript,7,probe_force,SHOT_fail,12,0.032499999999999994,0.06495190528383288,-0.005,-0.49506769826014835,0.0003629960795376427,-0.49509164690971375,-3.014177620410919,0.0009283858753894413,-3.0142364501953125,0.1283962478240331,0.2766702588538318,0.08908569812774658,0.25
mixscript,7,pure_pi,OTHER,1975,-0.020159537486509508,0.11160396025802606,-0.005,-0.562132615333871,0.04910772018714426,-0.5742047429084778,-1.8807304530204096,0.16051700429248122,-1.8263580799102783,0.018971337507467104,0.1525661287766101,0.015436708927154541,0.23139240506329115
mixscript,7,pure_pi,MOVE_safe,3488,-0.0028528883304585616,0.011966499693243673,-0.005,-0.6004909495865807,0.08645352697420267,-0.573922872543335,-1.8671132592706505,0.22253039097071786,-1.865061342716217,0.03144213485649635,0.09928886680513224,0.012419678270816803,0.27379587155963303
fresh,999,probe_force,PASS_fail,20,-0.0018931228710015457,0.007614778859906268,-0.005,-0.4448271244764328,0.00042219141748337045,-0.4449368268251419,-2.710649240016937,0.0010974091038898587,-2.7105751037597656,-0.036121546663343905,0.09063545521946088,-0.06869999691843987,0.8
fresh,999,probe_force,SHOT_event,8,0.145,0.0,0.145,-0.4445936121046543,0.00045846301189955853,-0.4446651041507721,-3.6576161980628967,0.000928500928850077,-3.65750253200531,0.04248742386698723,0.021041702423322595,0.03374172933399677,0.0
fresh,999,probe_force,SHOT_fail,12,0.032499999999999994,0.06495190528383288,-0.005,-0.4449827993909518,0.0003104250880348549,-0.445055291056633,-3.657775402069092,0.0004689322030900483,-3.6577872037887573,0.058592039781312145,0.27727030151893806,0.0027564410120248795,0.5
fresh,999,pure_pi,OTHER,1814,-0.01836782055588364,0.12040931188886636,-0.004882602725681309,-0.535491294756351,0.060912281620258836,-0.5405083894729614,-2.0111187281130167,0.17785773713187633,-2.0212844610214233,0.019840717018378362,0.1187327235804633,0.01639801263809204,0.41069459757442117
fresh,999,pure_pi,MOVE_safe,2112,-0.005087827909481963,0.008402428363368887,-0.005064707165069072,-0.6174169994580249,0.07458183627689621,-0.6107264459133148,-1.8208375595171342,0.2879499602749183,-1.7737426161766052,0.017961729252319994,0.1675099574365567,0.006854539271444082,0.4464962121212121
mixscript,999,probe_force,PASS_fail,16,-0.0019299836963545978,0.006463746086307805,-0.005,-0.5749319791793823,0.0006728455227607334,-0.5749812126159668,-2.759316712617874,0.000987086361292432,-2.759413719177246,0.027627889066934586,0.09869938382082115,-0.04229730926454067,0.625
mixscript,999,probe_force,PASS_complete,4,-0.005,0.0,-0.005,-0.5747968703508377,0.0007012796042721535,-0.574985533952713,-2.7587918043136597,0.000805686343731722,-2.7584975957870483,0.1382826678454876,0.025514029358848674,0.12783250212669373,0.0
mixscript,999,probe_force,SHOT_event,8,0.145,0.0,0.145,-0.5745987892150879,0.0007817791681002126,-0.5750211775302887,-3.8895700871944427,0.001632253859286395,-3.889085292816162,0.07536841742694378,0.03484549894819588,0.055462900549173355,0.0
mixscript,999,probe_force,SHOT_fail,12,0.032499999999999994,0.06495190528383288,-0.005,-0.5751090695460638,0.0005107055365007043,-0.5749782621860504,-3.889636993408203,0.0008743844418762556,-3.8895260095596313,0.09243807879587014,0.30485692402825376,0.05012907087802887,0.4166666666666667
mixscript,999,pure_pi,MOVE_safe,3253,-0.0026394581918806974,0.009263764052683001,-0.0050741946653603525,-0.711508956774176,0.08904374626040062,-0.6945285201072693,-1.7827163385018325,0.23295843249306147,-1.7818138599395752,0.057825762452965654,0.10691645795619882,0.03050551749765873,0.3203197048877959
mixscript,999,pure_pi,OTHER,578,-0.06128840663402885,0.20526187641533022,-0.005371222521309431,-0.6527001410207122,0.060808788675207864,-0.6472424268722534,-2.026914093939903,0.23553690095340882,-1.9897196292877197,0.09400468068978843,0.3048179745278891,0.017161821015179157,0.35986159169550175
mixscript,999,pure_pi,PASS_fail,1,-0.005166102151431468,0.0,-0.005166102151431468,-0.6285504102706909,0.0,-0.6285504102706909,-2.412092924118042,0.0,-2.412092924118042,0.11486479640007019,0.0,0.11486479640007019,0.0
